,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,1.0796838912428232e-10,5.153273044136474e-09,3.784868471698989e-16,3.412834625382137e-07
1,Ocean_Mixed_Water,1.0798081443020185e-07,5.162235091639533e-06,3.7853040450089874e-16,3.4187698796896023e-07
2,Ocean_Column_Water,0.0001879432466787364,0.11807956273348519,2.2004024147952676e-14,0.00026117285973098296
3,Coast_Surface_Water,9.19394208933528e-15,8.027620136496483e-11,1.2556068402931672e-18,2.0711742735162402e-07
4,Coast_Column_Water,4.7566470833935195e-12,4.025180483710172e-08,1.297750705687281e-18,2.0746919501509665e-07
5,Surface_Freshwater,4.2550843208626536e-34,5.913255193156451e-30,5.669858286112079e-38,1.48856764665715e-26
6,Bulk_Freshwater,1.3154984021591283e-31,1.7821461589304417e-27,5.83222182228019e-38,1.4926739298881785e-26
7,Sediment_Freshwater,2.2048556196776394e-26,1.1081206451612387e-24,9.775159771349945e-30,9.281297103015043e-21
8,Sediment_Ocean,99.99980765147714,99.88181326609296,0.0011707779988046124,22092.238658353283
9,Sediment_Coast,4.297182638961625e-06,0.00010196345309999627,1.9554672697115238e-09,0.8765752290388646
10,Urban_Soil_Surface,5.888499502900476e-28,2.9552578912350156e-26,2.527033128998016e-32,2.3959601949666986e-23
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,9.304248324867657e-28,4.66951780679127e-26,2.527033128998016e-32,2.3959601949666983e-23
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,3.1014161082892187e-29,1.5565059355970902e-27,6.31758282249504e-33,5.9899004874167466e-24
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,3.222559807001281e-30,1.5619376697696833e-28,1.2699662288806323e-40,1.1628743881975696e-31
