,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,1.0017969595366158,1.001796959536616,-2.220446049250313e-16,3.784868471698989e-16,3.412834625382137e-07
Ocean_Mixed_Water,1.0017971993374668,1.0017971993374666,2.220446049250313e-16,3.7853040450089874e-16,3.4187698796896023e-07
Ocean_Column_Water,1.1205903169894753,1.120590316989478,-2.6645352591003757e-15,2.2004024147952676e-14,0.00026117285973098296
Coast_Surface_Water,1.5824738962388589e-07,1.5824738962388586e-07,2.6469779601696886e-23,1.2556068402931672e-18,2.0711742735162402e-07
Coast_Column_Water,2.657108724955164e-07,2.657108724955164e-07,0.0,1.297750705687281e-18,2.0746919501509665e-07
Surface_Freshwater,4.4677094844686656e-27,4.467709484468666e-27,-7.174648137343064e-43,5.669858286112079e-38,1.48856764665715e-26
Bulk_Freshwater,7.126480930959076e-27,7.126480930959073e-27,2.8698592549372254e-42,5.83222182228019e-38,1.4926739298881785e-26
Sediment_Freshwater,3.590037887135705e-27,3.590037887135705e-27,0.0,9.775159771349945e-30,9.281297103015043e-21
Sediment_Ocean,1.1205882590277059,1.120588259027706,-2.220446049250313e-16,0.0011707779988046124,22092.238658353283
Sediment_Coast,1.0738394263322488e-07,1.0738394263322488e-07,0.0,1.9554672697115238e-09,0.8765752290388646
Urban_Soil_Surface,3.3873199639143247e-28,3.387319963914324e-28,8.96831017167883e-44,2.527033128998016e-32,2.3959601949666986e-23
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,5.352206633373523e-28,5.352206633373523e-28,0.0,2.527033128998016e-32,2.3959601949666983e-23
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,1.7840688777911744e-29,1.7840688777911744e-29,0.0,6.31758282249504e-33,5.9899004874167466e-24
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,3.0729692734623436e-27,3.072969273462343e-27,7.174648137343064e-43,1.2699662288806323e-40,1.1628743881975696e-31
