,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,5.799371150320213e-05,5.798640828868906e-05,2.0262578638404842e-10,1959.1796497441774
1,Ocean_Mixed_Water,0.057992847767782435,0.057985571570587036,2.0262276855566482e-10,1959.151379652505
2,Ocean_Column_Water,1.2267022011500854,1.2267022944160537,1.4314433720346244e-10,1384.2306057040516
3,Coast_Surface_Water,9.802939156740693e-07,9.802925651724656e-07,1.3343441492409555e-10,1290.3320948645637
4,Coast_Column_Water,0.0004912920336417839,0.0004912913706575949,1.3359484636027176e-10,1291.8835288690152
5,Surface_Freshwater,7.364700888529383e-26,7.364700780796882e-26,9.780899262288235e-30,9.458298628678715e-17
6,Bulk_Freshwater,2.2183674516956656e-23,2.2183676035344348e-23,9.802499586854588e-30,9.479187303327815e-17
7,Sediment_Freshwater,1.1074155311291231e-20,1.1074156068214968e-20,4.893436512545274e-24,4.7320380729344964e-11
8,Sediment_Ocean,97.9274684204941,97.92747624622503,0.0011427192800275712,11050293977.310038
9,Sediment_Coast,0.7872862645489722,0.7872856297168102,0.00035707467760792905,3452971111.4223394
10,Urban_Soil_Surface,3.111219681832183e-22,3.1108404798024986e-22,1.3307504134077647e-26,1.2867018227270866e-13
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,4.915948536418111e-22,4.915349370221741e-22,1.3307504134077647e-26,1.2867018227270866e-13
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,1.6386495121393706e-23,1.638449790073914e-23,3.326876033519412e-27,3.216754556817717e-14
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,1.760017832608542e-24,1.7597998366092603e-24,6.913021280607651e-35,6.684183146805568e-22
