,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,3178656.5540800863,3178656.554080086,4.656612873077393e-10,6.695853233378196e-07,1015.4446143771847
Ocean_Mixed_Water,3178660.5413738773,3178660.5413738783,-9.313225746154785e-10,2.6596964278274905e-08,1017.7779534509368
Ocean_Column_Water,1.3092915497738569,1.3092915497738569,0.0,7.424027093633364e-11,1134.2550829802851
Coast_Surface_Water,81368.57985849577,81368.57985849577,0.0,6.677528697805582e-07,1101.3322161391948
Coast_Column_Water,81372.30549122591,81372.3054912259,1.4551915228366852e-11,2.6504518817023017e-08,1103.9165432867314
Surface_Freshwater,2.590068781062162e-16,2.590068781062162e-16,0.0,4.215461070524129e-27,6.435699350854813e-14
Bulk_Freshwater,2.637929795961439e-16,2.637929795961439e-16,0.0,4.243708598421817e-27,6.470320814101927e-14
Sediment_Freshwater,6.470226421099918e-18,6.4702264210999186e-18,-7.703719777548943e-34,1.7615644971313708e-20,7.813483878351653e-08
Sediment_Ocean,1.013312695950873,1.013312695950873,0.0,0.0010584826122547008,16172422204.110172
Sediment_Coast,0.02538563819573547,0.025385638195735468,3.469446951953614e-18,0.00046210137987337914,7060388601.707975
Urban_Soil_Surface,6.145421559018655e-19,6.145421559018654e-19,9.62964972193618e-35,4.5844415708627394e-23,1.0023465753186898e-10
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,9.710203459801717e-19,9.710203459801715e-19,1.925929944387236e-34,4.5844415708627394e-23,1.0023465753186898e-10
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,3.2367344866005725e-20,3.236734486600573e-20,-6.018531076210112e-36,1.146110392715685e-23,2.505866438296725e-11
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,5.575113174013589e-18,5.575113174013588e-18,7.703719777548943e-34,2.3040273506285326e-31,3.5017570417057795e-22
