,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,5.810378740277362e-05,5.8096508366790376e-05,2.0301309740796794e-10,3164.717152663028
1,Ocean_Mixed_Water,0.05810291940148265,0.05809566729145117,2.0301006463439996e-10,3164.6713363889094
2,Ocean_Column_Water,1.2265306077127862,1.22653070107581,1.431262272145155e-10,2231.43638567616
3,Coast_Surface_Water,9.827192635499643e-07,9.82717924824584e-07,1.3376633356750478e-10,2085.5062022163925
4,Coast_Column_Water,0.0004925067137990292,0.0004925060565945628,1.3392693924216529e-10,2088.01020978636
5,Surface_Freshwater,7.386433051094664e-26,7.386432944686889e-26,9.80989241405714e-30,1.5294296032740063e-16
6,Bulk_Freshwater,2.2249093961640212e-23,2.2249095477318816e-23,9.831538492825098e-30,1.5328045021235052e-16
7,Sediment_Freshwater,1.1097589374124668e-20,1.1097590128981111e-20,4.903857087276651e-24,7.645450634055846e-11
8,Sediment_Ocean,97.92643424249916,97.92644203829146,0.001142722488094753,17815830104.56946
9,Sediment_Coast,0.7883806371660926,0.7883800080584042,0.0003575758117658094,5574848125.980703
10,Urban_Soil_Surface,3.1176177406493613e-22,3.117239794447316e-22,1.3335048575996165e-26,2.078773651658393e-13
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,4.926057924727105e-22,4.925460742827788e-22,1.3335048575996165e-26,2.0787736516583935e-13
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,1.6420193082423682e-23,1.6418202476092628e-23,3.333762143999041e-27,5.1969341291459824e-14
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,1.7633755199568633e-24,1.7631582458883265e-24,6.926302240202747e-35,1.0797250511984469e-21
