,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,964.7294711991502,964.7294711991502,0.0,2.0301309740796794e-10,3164.717152663028
Ocean_Mixed_Water,964.7506560950642,964.7506560950644,-2.2737367544323206e-13,2.0301006463439996e-10,3164.6713363889094
Ocean_Column_Water,1.1071284218057462,1.1071284218057467,-4.440892098500626e-16,1.431262272145155e-10,2231.43638567616
Coast_Surface_Water,16.31959301027403,16.319593010274026,3.552713678800501e-15,1.3376633356750478e-10,2085.5062022163925
Coast_Column_Water,16.35887190801423,16.358871908014233,-3.552713678800501e-15,1.3392693924216529e-10,2088.01020978636
Surface_Freshwater,5.96627767128446e-19,5.966277671284462e-19,-1.925929944387236e-34,9.80989241405714e-30,1.5294296032740063e-16
Bulk_Freshwater,5.979491568582369e-19,5.979491568582367e-19,1.925929944387236e-34,9.831538492825098e-30,1.5328045021235052e-16
Sediment_Freshwater,1.8010832047465154e-21,1.8010832047465154e-21,0.0,4.903857087276651e-24,7.645450634055846e-11
Sediment_Ocean,1.0937365107277044,1.093736510727704,4.440892098500626e-16,0.001142722488094753,17815830104.56946
Sediment_Coast,0.01964457478684491,0.019644574786844907,3.469446951953614e-18,0.0003575758117658094,5574848125.980703
Urban_Soil_Surface,1.8474193502785258e-22,1.8474193502785255e-22,2.350988701644575e-38,1.3335048575996165e-26,2.078773651658393e-13
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,2.9190540623617983e-22,2.919054062361799e-22,-4.70197740328915e-38,1.3335048575996165e-26,2.0787736516583935e-13
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,9.73018020787266e-24,9.730180207872662e-24,-1.4693679385278594e-39,3.333762143999041e-27,5.1969341291459824e-14
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,1.6760168287163123e-21,1.6760168287163131e-21,-7.52316384526264e-37,6.926302240202747e-35,1.0797250511984469e-21
