,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,1.0017962033613192,1.0017962033613192,0.0,3.7834393057160307e-16,9.896480104487696e-08
Ocean_Mixed_Water,1.0017963494596822,1.001796349459682,2.220446049250313e-16,3.783711158212591e-16,9.913739381773275e-08
Ocean_Column_Water,1.0613182543878261,1.0613182543878257,4.440892098500626e-16,1.340690897864837e-14,7.585356502540814e-05
Coast_Surface_Water,1.2476577016656467e-07,1.247657701665647e-07,-2.6469779601696886e-23,9.954832712258175e-19,6.326070353636239e-08
Coast_Column_Water,2.101080189197036e-07,2.1010801891970359e-07,2.6469779601696886e-23,1.0229827256468942e-18,6.336859491461573e-08
Surface_Freshwater,4.180746425229837e-27,4.1807464252298376e-27,-7.174648137343064e-43,5.177169478643537e-38,4.682929780802002e-27
Bulk_Freshwater,6.31242701851529e-27,6.3124270185152904e-27,-7.174648137343064e-43,5.38339628537011e-38,4.696109753811625e-27
Sediment_Freshwater,3.048134772254507e-27,3.048134772254507e-27,0.0,7.837302750660135e-30,2.979394074790383e-21
Sediment_Ocean,1.061316123936444,1.061316123936444,0.0,0.0005953219999422819,6050.4443171312505
Sediment_Coast,8.530305488304e-08,8.530305488304002e-08,-1.3234889800848443e-23,1.1215844336880253e-09,0.2990447799648708
Urban_Soil_Surface,3.3859470492740777e-28,3.385947049274077e-28,8.96831017167883e-44,2.484390397197462e-32,7.262704988872827e-24
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,5.350037330525586e-28,5.350037330525589e-28,-2.6904930515036488e-43,2.4843903971974616e-32,7.262704988872828e-24
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,1.7833457768418623e-29,1.7833457768418617e-29,5.605193857299268e-45,6.210975992993654e-33,1.8156762472182067e-24
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,3.0717548127204275e-27,3.0717548127204283e-27,-7.174648137343064e-43,1.269451498873776e-40,3.374837468723569e-32
