,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,2.1225359616741334e-10,5.455945230138432e-09,3.7834393056656176e-16,9.896480104486276e-08
1,Ocean_Mixed_Water,2.12268847282962e-07,5.465460297171123e-06,3.7837111581621783e-16,9.913739381771849e-08
2,Ocean_Column_Water,0.00022520380749794022,0.12521144430090364,1.3406908978641496e-14,7.585356502539749e-05
3,Coast_Surface_Water,1.4335224972811802e-14,8.952112361704369e-11,9.95483271220628e-19,6.326070353633962e-08
4,Coast_Column_Water,7.373953807119105e-12,4.488767903988966e-08,1.0229827256400847e-18,6.336859491459293e-08
5,Surface_Freshwater,7.639537854202566e-34,6.786425592663211e-30,5.176171590233553e-38,4.679093343961188e-27
6,Bulk_Freshwater,2.38755706071792e-31,2.045419505853998e-27,5.382388135194443e-38,4.692266667880934e-27
7,Sediment_Freshwater,3.4765296608470845e-26,1.2980973538071101e-24,7.837313003345914e-30,2.9778824967206124e-21
8,Sediment_Ocean,99.99976973654026,99.87465603712046,0.0005953219999422816,6050.4443171304
9,Sediment_Coast,4.847163735513784e-06,0.00012700268521575464,1.1215844336730763e-09,0.2990447799646649
10,Urban_Soil_Surface,1.138509517534256e-27,3.2687065073939614e-26,2.4843941755266095e-32,7.258365008958085e-24
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,1.798926070409999e-27,5.164788929832452e-26,2.4843941755266095e-32,7.258365008958085e-24
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,5.996420234699996e-29,1.72159630994415e-27,6.210985438816524e-33,1.814591252239521e-24
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,6.335011140000371e-30,1.6550270339967394e-28,1.2694515003925214e-40,3.3748374687230726e-32
