,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,2.3670181711543784e-09,6.250326861728511e-09,8.297798075025586e-15,0.0729626652195827
1,Ocean_Mixed_Water,2.3708638636044155e-06,6.260414855185555e-06,8.311279500642822e-15,0.0730804265632095
2,Ocean_Column_Water,0.05073272095982617,0.1330723047233252,5.939783883552313e-12,51.8808230028048
3,Coast_Surface_Water,3.405566619576481e-11,9.550992805650504e-11,4.651021954867401e-15,0.04343543919821471
4,Coast_Column_Water,1.7075689832861216e-08,4.7886129473448756e-08,4.658817530774694e-15,0.04350547041784917
5,Surface_Freshwater,2.4718434300431916e-30,7.0024497734521e-30,3.2937610691970905e-34,3.107118566782317e-21
6,Bulk_Freshwater,7.449292866296568e-28,2.1101435500535774e-27,3.302675140667419e-34,3.1152973064654485e-21
7,Sediment_Freshwater,4.703597409049526e-25,1.2525124737798905e-24,2.0853595788748377e-28,1.8491390008901507e-15
8,Sediment_Ocean,99.94922329586637,99.8668165143079,0.0011702048982873887,3893501838.87228
9,Sediment_Coast,4.159283316978595e-05,0.00010486632195612115,1.892746025830734e-08,158908.29390415398
10,Urban_Soil_Surface,1.3094129293346057e-26,3.477722613173269e-26,5.619400914198492e-31,4.9698699254181796e-18
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,2.0689656249984518e-26,5.495049253554915e-26,5.619400914198491e-31,4.969869925418178e-18
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,6.896552083328172e-28,1.831683084518305e-27,1.4048502285496227e-31,1.2424674813545445e-18
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,7.165935579337789e-29,1.8938966776123007e-28,2.8240422245929468e-39,2.4853711833289602e-26
