,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,1.039455307412852,1.039455307412852,0.0,8.297798075025586e-15,0.0729626652195827
Ocean_Mixed_Water,1.0395207006533003,1.0395207006533005,-2.220446049250313e-16,8.311279500642822e-15,0.0730804265632095
Ocean_Column_Water,1.1205952544362874,1.12059525443629,-2.6645352591003757e-15,5.939783883552313e-12,51.8808230028048
Coast_Surface_Water,0.0005676979909476534,0.0005676979909476537,-3.2526065174565133e-19,4.651021954867401e-15,0.04343543919821471
Coast_Column_Water,0.0005694199590011649,0.0005694199590011647,2.168404344971009e-19,4.658817530774694e-15,0.04350547041784917
Surface_Freshwater,2.004648110009967e-23,2.0046481100099667e-23,2.938735877055719e-39,3.2937610691970905e-34,3.107118566782317e-21
Bulk_Freshwater,2.0102784549075266e-23,2.0102784549075269e-23,-2.938735877055719e-39,3.302675140667419e-34,3.1152973064654485e-21
Sediment_Freshwater,7.658718702893515e-26,7.658718702893517e-26,-2.2958874039497803e-41,2.0853595788748377e-28,1.8491390008901507e-15
Sediment_Ocean,1.1200397265890216,1.1200397265890218,-2.220446049250313e-16,0.0011702048982873887,3893501838.87228
Sediment_Coast,1.039396229255504e-06,1.0393962292555038e-06,2.117582368135751e-22,1.892746025830734e-08,158908.29390415398
Urban_Soil_Surface,7.532432271629987e-27,7.532432271629987e-27,0.0,5.619400914198492e-31,4.9698699254181796e-18
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,1.1901779105351297e-26,1.1901779105351296e-26,1.4349296274686127e-42,5.619400914198491e-31,4.969869925418178e-18
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,3.9672597017837655e-28,3.9672597017837655e-28,0.0,1.4048502285496227e-31,1.2424674813545445e-18
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,6.833406105541866e-26,6.833406105541864e-26,2.2958874039497803e-41,2.8240422245929468e-39,2.4853711833289602e-26
