,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,0.3515785192765385,2.8894595370088325e-06,1.2527563369130135e-06,0.003356866815903465
1,Ocean_Mixed_Water,52.77399587853955,0.0023491767728367158,1.8804606691303486e-07,0.002729186359048383
2,Ocean_Column_Water,0.06410770786804681,0.1252119580440256,7.629142776457842e-12,0.004858302121898196
3,Coast_Surface_Water,0.00899946112703034,1.6160417223484326e-07,1.2492763541992988e-06,0.007314216340575529
4,Coast_Column_Water,0.6777955127663317,7.403341272380125e-05,1.8796593012224926e-07,0.006693934161818389
5,Surface_Freshwater,1.2792274467300268e-20,7.485525681295429e-25,1.7326143532072036e-24,3.3055951436870424e-20
6,Bulk_Freshwater,1.154991556415335e-19,2.2599425848623035e-22,5.204902797463197e-26,3.3205072903526185e-20
7,Sediment_Freshwater,2.0813684151080527e-17,2.7036567298206074e-19,9.379566652391858e-21,3.972451310096994e-14
8,Sediment_Ocean,45.66324395587704,99.45101873750438,0.0005434157909570967,385876.1598372819
9,Sediment_Coast,0.46027896454546946,0.4213430432023161,0.00021290113248617973,63542.73299958708
10,Urban_Soil_Surface,1.9663929623041716e-18,1.7908623142347372e-21,8.577618161278428e-23,2.547016825883417e-17
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,3.107040837235061e-18,2.8296899200007952e-21,8.577618161278428e-23,2.547016825883417e-17
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,1.0356802790783538e-19,9.432299733335987e-23,2.1444045403196073e-23,6.3675420647085434e-18
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,1.076134577248695e-20,9.105811595125884e-26,4.310700774646607e-31,1.1892500274110636e-27
