,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,3992694.9798800014,3992694.979880002,-4.656612873077393e-10,8.410630013591068e-07,0.0027500475874272126
Ocean_Mixed_Water,3992724.709870888,3992724.709870888,0.0,1.8995836348077525e-07,0.0026414267177087285
Ocean_Column_Water,2.584042173000003,2.5840421730000043,-1.3322676295501878e-15,1.481478795817991e-11,0.00469198326632265
Coast_Surface_Water,102275.87481147422,102275.87481147422,0.0,8.3932917008991e-07,0.006574347242563631
Coast_Column_Water,102303.55743413286,102303.55743413285,1.4551915228366852e-11,1.8987502884771054e-07,0.006473486732484452
Surface_Freshwater,1.075301134333401e-17,1.0753011343334008e-17,1.5407439555097887e-33,1.0780325683053345e-28,2.789134332035781e-20
Bulk_Freshwater,1.6812158555225215e-17,1.6812158555225212e-17,3.0814879110195774e-33,1.4233653064809074e-28,2.8042425609753215e-20
Sediment_Freshwater,8.181399146016142e-18,8.18139914601614e-18,1.5407439555097887e-33,2.2276779889170307e-20,3.429243815947632e-14
Sediment_Ocean,0.5148627022386616,0.5148627022386616,0.0,0.0005379227555972558,373969.3039952046
Sediment_Coast,0.011533045397151578,0.011533045397151578,0.0,0.00021001736610893896,61443.818394485555
Urban_Soil_Surface,7.719366023904084e-19,7.719366023904083e-19,9.62964972193618e-35,5.758858616643497e-23,1.8745681316383992e-17
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,1.2197147738837768e-18,1.2197147738837766e-18,1.925929944387236e-34,5.758858616643495e-23,1.874568131638399e-17
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,4.065715912945923e-20,4.065715912945923e-20,0.0,1.439714654160874e-23,4.686420329095998e-18
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,7.002991997330471e-18,7.002991997330473e-18,-1.5407439555097887e-33,2.8941269980879512e-31,9.792848177569752e-28
